2024-10-10 03:11:11 - [2024-10-10 03:11:11] The monster Monstruo 231003101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada entered storage and is available for delivery.
2024-10-10 03:11:11 - [2024-10-10 03:11:11] The monster Monstruo 291003101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica entered storage and is available for delivery.
2024-10-10 03:11:11 - [2024-10-10 03:11:11] The monster Monstruo 301003101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta entered storage and is available for delivery.
2024-10-10 03:11:11 - [2024-10-10 03:11:11] The monster Monstruo 311003101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada entered storage and is available for delivery.
2024-10-10 03:11:11 - [2024-10-10 03:11:11] The monster Monstruo 321003101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica entered storage and is available for delivery.
2024-10-10 03:11:11 - [2024-10-10 03:11:11] The monster Monstruo 441003101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta entered storage and is available for delivery.
2024-10-10 03:12:05 - [2024-10-10 03:12:05] The monster Monstruo 171103101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada entered storage and is available for delivery.
2024-10-10 03:12:05 - [2024-10-10 03:12:05] The monster Monstruo 331103101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada entered storage and is available for delivery.
2024-10-10 03:12:05 - [2024-10-10 03:12:05] The monster Monstruo 361103101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica entered storage and is available for delivery.
2024-10-10 03:12:05 - [2024-10-10 03:12:05] The monster Monstruo 381103101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada entered storage and is available for delivery.
2024-10-10 03:12:05 - [2024-10-10 03:12:05] The monster Monstruo 401103101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica entered storage and is available for delivery.
2024-10-10 03:12:05 - [2024-10-10 03:12:05] The monster Monstruo 471103101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada entered storage and is available for delivery.
2024-10-10 03:12:05 - [2024-10-10 03:12:05] The monster Monstruo 521103101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica entered storage and is available for delivery.
2024-10-10 03:12:51 - [2024-10-10 03:12:51] The monster Monstruo 51203101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica entered storage and is available for delivery.
2024-10-10 03:12:51 - [2024-10-10 03:12:51] The monster Monstruo 91203101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica entered storage and is available for delivery.
2024-10-10 03:12:51 - [2024-10-10 03:12:51] The monster Monstruo 121203101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica entered storage and is available for delivery.
2024-10-10 03:12:51 - [2024-10-10 03:12:51] The monster Monstruo 251203101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica entered storage and is available for delivery.
2024-10-10 03:12:51 - [2024-10-10 03:12:51] The monster Monstruo 351203101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada entered storage and is available for delivery.
2024-10-10 03:12:51 - [2024-10-10 03:12:51] The monster Monstruo 391203101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta entered storage and is available for delivery.
2024-10-10 03:13:32 - [2024-10-10 03:13:32] The monster Monstruo 401203101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica entered storage and is available for delivery.
2024-10-10 03:13:32 - [2024-10-10 03:13:32] The monster Monstruo 411203101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada entered storage and is available for delivery.
2024-10-10 03:13:32 - [2024-10-10 03:13:32] The monster Monstruo 561203101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada entered storage and is available for delivery.
2024-10-10 03:13:32 - [2024-10-10 03:13:32] The monster Monstruo 581203101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica entered storage and is available for delivery.
2024-10-10 03:13:32 - [2024-10-10 03:13:32] The monster Monstruo 31303101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta entered storage and is available for delivery.
2024-10-10 03:13:32 - [2024-10-10 03:13:32] The monster Monstruo 91303101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada entered storage and is available for delivery.
2024-10-10 03:13:32 - [2024-10-10 03:13:32] The monster Monstruo 141303101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica entered storage and is available for delivery.
2024-10-10 03:14:22 - [2024-10-10 03:14:22] The monster Monstruo 401303101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica entered storage and is available for delivery.
2024-10-10 03:14:22 - [2024-10-10 03:14:22] The monster Monstruo 441303101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica entered storage and is available for delivery.
2024-10-10 03:14:22 - [2024-10-10 03:14:22] The monster Monstruo 541303101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica entered storage and is available for delivery.
2024-10-10 03:14:22 - [2024-10-10 03:14:22] The monster Monstruo 551303101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada entered storage and is available for delivery.
2024-10-10 03:14:22 - [2024-10-10 03:14:22] The monster Monstruo 51403101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada entered storage and is available for delivery.
2024-10-10 03:14:22 - [2024-10-10 03:14:22] The monster Monstruo 61403101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada entered storage and is available for delivery.
2024-10-10 03:14:22 - [2024-10-10 03:14:22] The monster Monstruo 71403101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada entered storage and is available for delivery.
2024-10-10 03:15:20 - [2024-10-10 03:15:20] The monster Monstruo 111403101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada entered storage and is available for delivery.
2024-10-10 03:15:20 - [2024-10-10 03:15:20] The monster Monstruo 251403101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta entered storage and is available for delivery.
2024-10-10 03:15:20 - [2024-10-10 03:15:20] The monster Monstruo 311403101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta entered storage and is available for delivery.
2024-10-10 03:15:20 - [2024-10-10 03:15:20] The monster Monstruo 471403101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica entered storage and is available for delivery.
2024-10-10 03:15:20 - [2024-10-10 03:15:20] The monster Monstruo 1503101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta entered storage and is available for delivery.
