2024-10-10 03:10:26 - [2024-10-10 03:10:26] The monster Monstruo 261003101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered because it was GOOD.
2024-10-10 03:10:27 - [2024-10-10 03:10:27] The monster Monstruo 271003101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 03:10:28 - [2024-10-10 03:10:28] The monster Monstruo 281003101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:10:33 - [2024-10-10 03:10:33] The monster Monstruo 331003101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 03:10:35 - [2024-10-10 03:10:35] The monster Monstruo 351003101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:10:36 - [2024-10-10 03:10:36] The monster Monstruo 361003101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:10:37 - [2024-10-10 03:10:37] The monster Monstruo 371003101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:10:38 - [2024-10-10 03:10:38] The monster Monstruo 381003101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 03:10:39 - [2024-10-10 03:10:39] The monster Monstruo 391003101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 03:10:40 - [2024-10-10 03:10:40] The monster Monstruo 401003101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 03:10:41 - [2024-10-10 03:10:41] The monster Monstruo 411003101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 03:10:42 - [2024-10-10 03:10:42] The monster Monstruo 421003101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:10:43 - [2024-10-10 03:10:43] The monster Monstruo 431003101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:10:45 - [2024-10-10 03:10:45] The monster Monstruo 451003101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 03:10:46 - [2024-10-10 03:10:46] The monster Monstruo 461003101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:10:47 - [2024-10-10 03:10:47] The monster Monstruo 471003101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered because it was GOOD.
