2024-10-10 03:10:23 - [2024-10-10 03:10:23] Monster Monstruo 231003101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:10:29 - [2024-10-10 03:10:29] Monster Monstruo 291003101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 03:10:30 - [2024-10-10 03:10:30] Monster Monstruo 301003101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:10:31 - [2024-10-10 03:10:31] Monster Monstruo 311003101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 03:10:32 - [2024-10-10 03:10:32] Monster Monstruo 321003101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 03:10:34 - [2024-10-10 03:10:34] Monster Monstruo 341003101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:10:44 - [2024-10-10 03:10:44] Monster Monstruo 441003101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:10:57 - [2024-10-10 03:10:57] Monster Monstruo 571003101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 03:11:11 - [2024-10-10 03:11:11] Monster Monstruo 231003101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was dequeued.
2024-10-10 03:11:17 - [2024-10-10 03:11:17] Monster Monstruo 171103101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:11:33 - [2024-10-10 03:11:33] Monster Monstruo 331103101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:11:36 - [2024-10-10 03:11:36] Monster Monstruo 361103101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 03:11:38 - [2024-10-10 03:11:38] Monster Monstruo 381103101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:11:40 - [2024-10-10 03:11:40] Monster Monstruo 401103101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 03:11:47 - [2024-10-10 03:11:47] Monster Monstruo 471103101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:11:48 - [2024-10-10 03:11:48] Monster Monstruo 481103101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 03:11:52 - [2024-10-10 03:11:52] Monster Monstruo 521103101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 03:12:05 - [2024-10-10 03:12:05] Monster Monstruo 51203101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 03:12:05 - [2024-10-10 03:12:05] Monster Monstruo 171103101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was dequeued.
2024-10-10 03:12:06 - [2024-10-10 03:12:06] Monster Monstruo 61203101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 03:12:08 - [2024-10-10 03:12:08] Monster Monstruo 81203101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 03:12:09 - [2024-10-10 03:12:09] Monster Monstruo 91203101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 03:12:12 - [2024-10-10 03:12:12] Monster Monstruo 121203101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 03:12:25 - [2024-10-10 03:12:25] Monster Monstruo 251203101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 03:12:35 - [2024-10-10 03:12:35] Monster Monstruo 351203101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:12:39 - [2024-10-10 03:12:39] Monster Monstruo 391203101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
