2024-10-10 09:45:06 - [2024-10-10 09:45:06] The order: Name: NATALIA, Priority: No, Number: PROGRA, of 1, INTELIGENCIA, VELOCIDAD, LOCURA, 
2024-10-10 09:45:06 - [2024-10-10 09:45:06] The order: Name: ALLAN, Priority: No, Number: 2, of DESTRUCCION, 
2024-10-10 09:45:06 - [2024-10-10 09:45:06] The order: Name: JIMENA, Priority: No, Number: PROGRA, of 3, REGENERACION, 
2024-10-10 09:45:06 - [2024-10-10 09:45:06] The order: Name: JUAN, Priority: No, Number: 4, of MALDAD, 
2024-10-10 09:46:11 - [2024-10-10 09:46:11] The monster Monstruo 114609101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:46:12 - [2024-10-10 09:46:12] The monster Monstruo 124609101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:46:13 - [2024-10-10 09:46:13] Monster Monstruo 134609101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:46:14 - [2024-10-10 09:46:14] Monster Monstruo 144609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:46:14 - [2024-10-10 09:46:14] MonsterMonstruo 134609101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 1.
2024-10-10 09:46:15 - [2024-10-10 09:46:15] The monster Monstruo 154609101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:46:16 - [2024-10-10 09:46:16] The monster Monstruo 164609101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:46:16 - [2024-10-10 09:46:16] MonsterMonstruo 144609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 1.
2024-10-10 09:46:17 - [2024-10-10 09:46:17] The monster Monstruo 174609101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:46:18 - [2024-10-10 09:46:18] The monster Monstruo 184609101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:46:19 - [2024-10-10 09:46:19] The monster Monstruo 194609101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:46:20 - [2024-10-10 09:46:20] Monster Monstruo 204609101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:46:20 - [2024-10-10 09:46:20] MonsterMonstruo 204609101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 2.
2024-10-10 09:46:21 - [2024-10-10 09:46:21] The monster Monstruo 214609101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:46:22 - [2024-10-10 09:46:22] The monster Monstruo 224609101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:46:23 - [2024-10-10 09:46:23] Monster Monstruo 234609101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:46:24 - [2024-10-10 09:46:24] The monster Monstruo 244609101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:46:24 - [2024-10-10 09:46:24] MonsterMonstruo 234609101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 2.
2024-10-10 09:46:25 - [2024-10-10 09:46:25] The monster Monstruo 254609101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:46:26 - [2024-10-10 09:46:26] The monster Monstruo 264609101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:46:27 - [2024-10-10 09:46:27] The monster Monstruo 274609101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:46:28 - [2024-10-10 09:46:28] The monster Monstruo 284609101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:46:29 - [2024-10-10 09:46:29] The monster Monstruo 294609101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:46:30 - [2024-10-10 09:46:30] The monster Monstruo 304609101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:46:31 - [2024-10-10 09:46:31] The monster Monstruo 314609101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:46:32 - [2024-10-10 09:46:32] Monster Monstruo 324609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:46:32 - [2024-10-10 09:46:32] MonsterMonstruo 324609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 3.
2024-10-10 09:46:33 - [2024-10-10 09:46:33] The monster Monstruo 334609101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:46:34 - [2024-10-10 09:46:34] The monster Monstruo 344609101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:46:35 - [2024-10-10 09:46:35] The monster Monstruo 354609101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:46:36 - [2024-10-10 09:46:36] The monster Monstruo 364609101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:46:37 - [2024-10-10 09:46:37] The monster Monstruo 374609101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:46:38 - [2024-10-10 09:46:38] Monster Monstruo 384609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:46:38 - [2024-10-10 09:46:38] MonsterMonstruo 384609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 3.
2024-10-10 09:46:39 - [2024-10-10 09:46:39] Monster Monstruo 394609101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 09:46:40 - [2024-10-10 09:46:40] The monster Monstruo 404609101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:46:40 - [2024-10-10 09:46:40] MonsterMonstruo 394609101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 4.
2024-10-10 09:46:41 - [2024-10-10 09:46:41] The monster Monstruo 414609101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:46:42 - [2024-10-10 09:46:42] Monster Monstruo 424609101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:46:43 - [2024-10-10 09:46:43] The monster Monstruo 434609101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:46:44 - [2024-10-10 09:46:44] MonsterMonstruo 424609101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 4.
2024-10-10 09:46:44 - [2024-10-10 09:46:44] The monster Monstruo 444609101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:46:45 - [2024-10-10 09:46:45] Monster Monstruo 454609101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:46:56 - [2024-10-10 09:46:56] Monster Monstruo 134609101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 1.
2024-10-10 09:46:56 - [2024-10-10 09:46:56] Monster Monstruo 144609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 1.
2024-10-10 09:46:56 - [2024-10-10 09:46:56] Monster Monstruo 204609101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 2.
