2024-10-10 03:10:23 - [2024-10-10 03:10:23] MonsterMonstruo 231003101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 1.
2024-10-10 03:10:29 - [2024-10-10 03:10:29] MonsterMonstruo 291003101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 1.
2024-10-10 03:10:31 - [2024-10-10 03:10:31] MonsterMonstruo 301003101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 2.
2024-10-10 03:10:33 - [2024-10-10 03:10:33] MonsterMonstruo 311003101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 2.
2024-10-10 03:10:35 - [2024-10-10 03:10:35] MonsterMonstruo 321003101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 3.
2024-10-10 03:10:37 - [2024-10-10 03:10:37] MonsterMonstruo 341003101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 3.
2024-10-10 03:10:45 - [2024-10-10 03:10:45] MonsterMonstruo 441003101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 4.
2024-10-10 03:10:59 - [2024-10-10 03:10:59] MonsterMonstruo 571003101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 4.
2024-10-10 03:11:11 - [2024-10-10 03:11:11] Monster Monstruo 231003101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 1.
2024-10-10 03:11:11 - [2024-10-10 03:11:11] Monster Monstruo 291003101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 1.
2024-10-10 03:11:11 - [2024-10-10 03:11:11] Monster Monstruo 301003101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 2.
2024-10-10 03:11:11 - [2024-10-10 03:11:11] Monster Monstruo 311003101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 2.
2024-10-10 03:11:11 - [2024-10-10 03:11:11] Monster Monstruo 321003101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 3.
2024-10-10 03:11:11 - [2024-10-10 03:11:11] Monster Monstruo 341003101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 3.
2024-10-10 03:11:11 - [2024-10-10 03:11:11] Monster Monstruo 441003101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 4.
2024-10-10 03:11:11 - [2024-10-10 03:11:11] Monster Monstruo 571003101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 4.
2024-10-10 03:11:19 - [2024-10-10 03:11:19] MonsterMonstruo 171103101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 1.
2024-10-10 03:11:35 - [2024-10-10 03:11:35] MonsterMonstruo 331103101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 1.
2024-10-10 03:11:37 - [2024-10-10 03:11:37] MonsterMonstruo 361103101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 2.
2024-10-10 03:11:39 - [2024-10-10 03:11:39] MonsterMonstruo 381103101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 2.
2024-10-10 03:11:41 - [2024-10-10 03:11:41] MonsterMonstruo 401103101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 3.
2024-10-10 03:11:49 - [2024-10-10 03:11:49] MonsterMonstruo 471103101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 3.
2024-10-10 03:11:51 - [2024-10-10 03:11:51] MonsterMonstruo 481103101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 4.
2024-10-10 03:11:53 - [2024-10-10 03:11:53] MonsterMonstruo 521103101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 4.
2024-10-10 03:12:05 - [2024-10-10 03:12:05] Monster Monstruo 171103101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 1.
2024-10-10 03:12:05 - [2024-10-10 03:12:05] Monster Monstruo 331103101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 1.
2024-10-10 03:12:05 - [2024-10-10 03:12:05] Monster Monstruo 361103101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 2.
2024-10-10 03:12:05 - [2024-10-10 03:12:05] Monster Monstruo 381103101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 2.
2024-10-10 03:12:05 - [2024-10-10 03:12:05] Monster Monstruo 401103101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 3.
2024-10-10 03:12:05 - [2024-10-10 03:12:05] Monster Monstruo 471103101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 3.
2024-10-10 03:12:05 - [2024-10-10 03:12:05] Monster Monstruo 481103101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 4.
2024-10-10 03:12:05 - [2024-10-10 03:12:05] Monster Monstruo 521103101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 4.
2024-10-10 03:12:07 - [2024-10-10 03:12:07] MonsterMonstruo 51203101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 1.
2024-10-10 03:12:09 - [2024-10-10 03:12:09] MonsterMonstruo 61203101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 1.
2024-10-10 03:12:11 - [2024-10-10 03:12:11] MonsterMonstruo 81203101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 2.
