2024-10-10 02:32:26 - [2024-10-10 02:32:26] The monster Monstruo 503102101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 03:08:38 - [2024-10-10 03:08:38] The monster Monstruo 530703101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 03:08:38 - [2024-10-10 03:08:38] The monster Monstruo 803101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada has been discarded.
2024-10-10 03:09:10 - [2024-10-10 03:09:10] The monster Monstruo 460803101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 03:11:11 - [2024-10-10 03:11:11] The monster Monstruo 341003101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 03:12:51 - [2024-10-10 03:12:51] The monster Monstruo 61203101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 03:12:51 - [2024-10-10 03:12:51] The monster Monstruo 81203101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada has been discarded.
2024-10-10 03:14:22 - [2024-10-10 03:14:22] The monster Monstruo 501303101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 03:16:04 - [2024-10-10 03:16:04] The monster Monstruo 221503101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 03:16:04 - [2024-10-10 03:16:04] The monster Monstruo 331503101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 03:19:21 - [2024-10-10 03:19:21] The monster Monstruo 241803101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada has been discarded.
2024-10-10 03:19:21 - [2024-10-10 03:19:21] The monster Monstruo 41903101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 03:20:03 - [2024-10-10 03:20:03] The monster Monstruo 291903101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 03:20:03 - [2024-10-10 03:20:03] The monster Monstruo 321903101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada has been discarded.
2024-10-10 03:22:46 - [2024-10-10 03:22:46] The monster Monstruo 162203101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 03:23:32 - [2024-10-10 03:23:32] The monster Monstruo 142303101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 09:46:56 - [2024-10-10 09:46:56] The monster Monstruo 144609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 09:46:56 - [2024-10-10 09:46:56] The monster Monstruo 384609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 09:47:32 - [2024-10-10 09:47:32] The monster Monstruo 144709101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 09:48:17 - [2024-10-10 09:48:17] The monster Monstruo 354709101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 09:48:17 - [2024-10-10 09:48:17] The monster Monstruo 384709101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 09:48:17 - [2024-10-10 09:48:17] The monster Monstruo 564709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada has been discarded.
2024-10-10 09:52:55 - [2024-10-10 09:52:55] The monster Monstruo 375209101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 09:53:57 - [2024-10-10 09:53:57] The monster Monstruo 425209101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 09:54:51 - [2024-10-10 09:54:51] The monster Monstruo 135409101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 09:55:29 - [2024-10-10 09:55:29] The monster Monstruo 145509101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 09:56:16 - [2024-10-10 09:56:16] The monster Monstruo 5609101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 09:57:02 - [2024-10-10 09:57:02] The monster Monstruo 325609101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 09:57:02 - [2024-10-10 09:57:02] The monster Monstruo 475609101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 10:22:40 - [2024-10-10 10:22:40] The monster Monstruo 72210101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 10:22:40 - [2024-10-10 10:22:40] The monster Monstruo 182210101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
