2024-10-10 02:27:39 - [2024-10-10 02:27:39] The monster Monstruo 92702101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 02:27:39 - [2024-10-10 02:27:39] The monster Monstruo 212702101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 03:08:38 - [2024-10-10 03:08:38] The monster Monstruo 30803101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 03:09:10 - [2024-10-10 03:09:10] The monster Monstruo 480803101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 03:09:10 - [2024-10-10 03:09:10] The monster Monstruo 530803101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 03:11:11 - [2024-10-10 03:11:11] The monster Monstruo 571003101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 03:12:05 - [2024-10-10 03:12:05] The monster Monstruo 481103101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 03:13:32 - [2024-10-10 03:13:32] The monster Monstruo 191303101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 03:15:20 - [2024-10-10 03:15:20] The monster Monstruo 461403101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 03:15:20 - [2024-10-10 03:15:20] The monster Monstruo 61503101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada has been discarded.
2024-10-10 03:18:21 - [2024-10-10 03:18:21] The monster Monstruo 111703101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 03:18:21 - [2024-10-10 03:18:21] The monster Monstruo 51803101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 03:19:21 - [2024-10-10 03:19:21] The monster Monstruo 111803101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 03:20:03 - [2024-10-10 03:20:03] The monster Monstruo 221903101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 03:20:50 - [2024-10-10 03:20:50] The monster Monstruo 72003101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 03:20:50 - [2024-10-10 03:20:50] The monster Monstruo 252003101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 03:20:50 - [2024-10-10 03:20:50] The monster Monstruo 292003101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 03:20:50 - [2024-10-10 03:20:50] The monster Monstruo 302003101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 03:22:16 - [2024-10-10 03:22:16] The monster Monstruo 242103101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 03:22:16 - [2024-10-10 03:22:16] The monster Monstruo 372103101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 03:22:46 - [2024-10-10 03:22:46] The monster Monstruo 172203101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 09:48:17 - [2024-10-10 09:48:17] The monster Monstruo 14809101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 09:48:55 - [2024-10-10 09:48:55] The monster Monstruo 274809101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 09:51:10 - [2024-10-10 09:51:10] The monster Monstruo 544909101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 09:51:10 - [2024-10-10 09:51:10] The monster Monstruo 105009101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 09:51:10 - [2024-10-10 09:51:10] The monster Monstruo 585009101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 09:52:55 - [2024-10-10 09:52:55] The monster Monstruo 405209101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 09:53:57 - [2024-10-10 09:53:57] The monster Monstruo 445309101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 09:55:29 - [2024-10-10 09:55:29] The monster Monstruo 5509101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 09:55:29 - [2024-10-10 09:55:29] The monster Monstruo 15509101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 09:57:02 - [2024-10-10 09:57:02] The monster Monstruo 45609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 09:57:48 - [2024-10-10 09:57:48] The monster Monstruo 215709101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 09:57:48 - [2024-10-10 09:57:48] The monster Monstruo 345709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada has been discarded.
2024-10-10 10:22:40 - [2024-10-10 10:22:40] The monster Monstruo 102210101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 10:23:14 - [2024-10-10 10:23:14] The monster Monstruo 462210101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 10:23:53 - [2024-10-10 10:23:53] The monster Monstruo 182310101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
